ChEMBL_ID	UniProt
CHEMBL298470	Q9UBN7
CHEMBL298470	P0DTD1
CHEMBL298470	P03372
CHEMBL298470	P10275
CHEMBL298734	Q5EI74
CHEMBL298734	Q04631
CHEMBL298734	Q02293
CHEMBL298734	Q5EAD5
CHEMBL298734	Q8K2I1
CHEMBL298734	P49355
CHEMBL298734	P08183
CHEMBL298734	Q61239
CHEMBL298734	Q9UBN7
CHEMBL298734	P49356
CHEMBL298734	P49354
CHEMBL298734	P53609
CHEMBL298734	P53610
CHEMBL298734	P0DTD1
CHEMBL298734	P08684
CHEMBL298734	Q5EI73
CHEMBL298734	P01112
CHEMBL298734	P29702
CHEMBL306700	P11229
CHEMBL306700	P50406
CHEMBL306700	P25021
CHEMBL306700	P27815
CHEMBL306700	P31652
CHEMBL306700	P14867
CHEMBL306700	P30989
CHEMBL306700	P50052
CHEMBL306700	Q02294
CHEMBL306700	Q9R1M7
CHEMBL306700	P30556
CHEMBL306700	P25101
CHEMBL306700	P41145
CHEMBL306700	P30542
CHEMBL306700	P35372
CHEMBL306700	P34969
CHEMBL306700	Q62645
CHEMBL306700	P32238
CHEMBL306700	P21731
CHEMBL306700	P20309
CHEMBL306700	P41143
CHEMBL306700	P31645
